order_requests,nb_requete,hotel_id,price,stock,city,date,language,mobile,avatar_id,group,brand,parking,pool,children_policy,target
4505,1,573,236.0,281,paris,44,hungarian,1,281459,Chillton Worldwide,Chill Garden Inn,1,1,1,1
4499,1,253,229.0,192,amsterdam,39,hungarian,0,281425,Accar Hotels,Safitel,0,1,2,1
4488,1,577,184.0,0,paris,2,hungarian,0,281355,Yin Yang,Ardisson,1,1,1,1
4505,1,577,138.0,138,paris,44,hungarian,1,281459,Yin Yang,Ardisson,1,1,1,1
4496,1,71,247.0,242,paris,42,hungarian,0,281399,Accar Hotels,Safitel,1,1,1,1
4488,1,573,337.0,2,paris,2,hungarian,0,281355,Chillton Worldwide,Chill Garden Inn,1,1,1,1
4484,1,573,292.0,135,paris,33,hungarian,0,281301,Chillton Worldwide,Chill Garden Inn,1,1,1,1
4505,1,71,236.0,277,paris,44,hungarian,1,281459,Accar Hotels,Safitel,1,1,1,1
4484,1,0,176.0,97,paris,33,hungarian,0,281301,Yin Yang,Royal Lotus,1,0,1,1
4496,1,447,100.0,96,paris,42,hungarian,0,281399,Accar Hotels,Navatel,1,0,1,1
4484,1,314,113.0,52,paris,33,hungarian,0,281301,Independant,Independant,1,0,1,1
4484,1,577,164.0,64,paris,33,hungarian,0,281301,Yin Yang,Ardisson,1,1,1,1
4496,1,577,144.0,122,paris,42,hungarian,0,281399,Yin Yang,Ardisson,1,1,1,1
4459,1,74,109.0,93,vilnius,38,hungarian,0,281108,Boss Western,J.Halliday Inn,0,0,1,1
4457,1,591,238.0,63,amsterdam,23,hungarian,0,266534,Accar Hotels,Safitel,0,0,0,1
4457,1,410,115.0,22,amsterdam,23,hungarian,0,266534,Accar Hotels,Navatel,0,0,0,1
4465,1,127,63.0,84,madrid,40,hungarian,0,281151,Independant,Independant,1,0,0,1
4465,1,836,134.0,157,madrid,40,hungarian,0,281151,Yin Yang,Royal Lotus,1,0,0,1
4398,1,529,227.0,160,amsterdam,35,romanian,0,266464,Morriott International,Corlton,1,0,1,1
4457,1,455,147.0,31,amsterdam,23,hungarian,0,266534,Yin Yang,Ardisson,0,0,0,1
4457,1,557,109.0,0,amsterdam,23,hungarian,0,266534,Accar Hotels,Navatel,0,0,0,1
4457,1,218,186.0,38,amsterdam,23,hungarian,0,266534,Yin Yang,Royal Lotus,0,0,1,1
4457,1,807,257.0,55,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Chill Garden Inn,0,1,0,1
4457,1,317,170.0,38,amsterdam,23,hungarian,0,266534,Accar Hotels,Marcure,0,0,0,1
4464,1,258,147.0,52,madrid,27,hungarian,1,281139,Morriott International,Morriot,0,0,1,1
4465,1,241,113.0,108,madrid,40,hungarian,0,281151,Boss Western,J.Halliday Inn,1,0,0,1
4457,1,630,150.0,30,amsterdam,23,hungarian,0,266534,Boss Western,J.Halliday Inn,0,0,0,1
4465,1,149,143.0,148,madrid,40,hungarian,0,281151,Morriott International,Morriot,1,0,0,1
4457,1,9,82.0,24,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,0,1
4457,1,878,106.0,36,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,587,148.0,22,amsterdam,23,hungarian,0,266534,Boss Western,J.Halliday Inn,0,0,0,1
4457,1,835,100.0,49,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,0,1
4457,1,778,106.0,12,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
